70%,80%,90%,95%,99%,Avg Sentence Length,Median Sentence Length,Mode Sentence Length,Avg Verb Count,Avg Auxiliary Verb Count,Label,Comment
434.00,1540.20,5349.00,13259.00,42274.00,15.65,14.00,1.00,2.48,1.81,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する09
481.00,1524.00,5407.00,13875.00,44779.00,14.96,13.00,1.00,2.39,1.74,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する10
458.00,1532.00,5272.00,12953.00,43623.00,14.17,13.00,1.00,2.22,1.65,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する11
420.00,1396.60,5349.00,15251.05,53615.00,14.82,13.00,1.00,2.32,1.77,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する12
436.00,1392.00,5285.00,13002.00,53194.40,13.94,12.00,2.00,2.24,1.67,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する13
339.00,1327.00,5330.00,15056.40,55466.00,13.43,12.29,13.00,2.41,1.60,'easy-medium','『人斬り』少女、公爵令嬢の護衛になる01'
612.30,2565.00,8962.00,20964.00,51732.00,12.66,11.00,8.00,1.86,1.42,'easy-medium','とんでもスキルで異世界放浪メシ01'
455.00,1651.00,6409.00,13223.00,43422.99,11.88,11.00,10.00,2.00,1.48,easy-medium,無職転生 ～異世界行ったら本気だす～01
554.00,2166.00,8165.00,19182.80,46296.32,11.57,10.00,8.00,1.90,1.44,easy-medium,無職転生 ～異世界行ったら本気だす～02
498.30,1888.00,6806.00,15763.00,47856.05,11.03,10.00,8.00,1.80,1.35,easy-medium,無職転生 ～異世界行ったら本気だす～03
554.00,2131.00,7774.00,17806.60,45873.68,11.37,10.00,9.00,1.86,1.37,easy-medium,無職転生 ～異世界行ったら本気だす～04
501.00,2020.00,7931.00,16926.00,44547.30,12.42,11.00,10.00,2.05,1.59,easy-medium,無職転生 ～異世界行ったら本気だす～05
419.00,1530.00,6252.00,14832.80,43207.70,12.30,11.00,11.00,2.06,1.56,easy-medium,無職転生 ～異世界行ったら本気だす～06
481.00,1580.00,6049.20,13203.00,44379.00,13.56,12.00,1.00,2.29,1.59,easy-medium,無職転生 ～異世界行ったら本気だす～07
481.00,1740.80,6441.20,13312.00,41569.40,12.69,11.75,12.00,2.08,1.55,easy-medium,無職転生 ～異世界行ったら本気だす～08
386.00,1444.00,5863.00,13702.00,40363.20,12.24,11.00,9.00,2.03,1.56,easy-medium,無職転生 ～異世界行ったら本気だす～09
431.00,1477.00,5761.00,13661.90,39923.56,11.29,10.50,9.00,1.91,1.38,easy-medium,無職転生 ～異世界行ったら本気だす～10
396.00,1292.00,5012.00,11982.00,39381.00,10.53,10.00,8.00,1.74,1.35,easy-medium,無職転生 ～異世界行ったら本気だす～11
424.00,1473.00,5790.00,12373.00,43037.00,10.67,10.00,10.00,1.76,1.40,easy-medium,無職転生 ～異世界行ったら本気だす～12
398.00,1337.40,5277.60,13190.00,43170.58,11.81,11.00,10.00,1.96,1.48,easy-medium,無職転生 ～異世界行ったら本気だす～13
420.00,1576.00,6302.80,14676.00,42793.00,11.65,11.00,10.00,1.92,1.46,easy-medium,無職転生 ～異世界行ったら本気だす～14
380.00,1323.00,5662.00,15186.00,42344.00,12.13,11.00,12.00,2.08,1.48,easy-medium,無職転生 ～異世界行ったら本気だす～15
386.00,1387.00,6232.00,16948.00,42281.00,12.65,12.00,12.00,2.08,1.53,easy-medium,無職転生 ～異世界行ったら本気だす～16
481.00,1825.00,7921.00,20327.00,49498.00,11.72,11.00,10.00,1.94,1.41,easy-medium,無職転生 ～異世界行ったら本気だす～17
446.00,1577.80,6142.00,15250.15,40820.00,12.32,11.00,8.00,1.98,1.52,easy-medium,無職転生 ～異世界行ったら本気だす～18
453.00,1763.00,7127.00,17190.00,45936.00,11.81,11.00,10.00,1.96,1.52,easy-medium,無職転生 ～異世界行ったら本気だす～19
388.00,1387.00,5819.00,14934.00,40310.00,13.13,12.00,13.00,2.17,1.58,easy-medium,無職転生 ～異世界行ったら本気だす～20
433.00,1579.00,7555.70,17602.00,60565.00,12.62,11.25,10.00,2.10,1.60,easy-medium,無職転生 ～異世界行ったら本気だす～21
467.20,1796.00,7042.00,17660.80,46996.56,12.19,11.00,10.00,1.96,1.50,easy-medium,無職転生 ～異世界行ったら本気だす～22
454.00,1609.00,6409.00,15439.00,42794.00,12.72,11.00,9.00,2.10,1.52,easy-medium,無職転生 ～異世界行ったら本気だす～23
434.00,1532.00,6125.00,13880.40,42781.48,12.13,11.00,11.00,2.04,1.44,easy-medium,無職転生 ～異世界行ったら本気だす～24
543.00,2217.00,7930.80,18640.40,52819.00,11.95,11.00,11.00,2.04,1.43,easy-medium,無職転生 ～異世界行ったら本気だす～25
481.00,1844.00,6685.00,15815.00,42787.85,12.01,10.50,8.00,2.02,1.46,easy-medium,無職転生 ～異世界行ったら本気だす～26
603.10,2057.00,7820.00,19876.00,41347.00,10.48,9.50,4.00,1.80,1.29,medium,キノの旅01
596.00,1982.00,7973.80,19876.00,45079.99,9.85,8.50,4.00,1.64,1.15,medium,キノの旅02
537.00,1756.80,6669.00,19876.00,40434.00,9.18,8.00,4.00,1.55,1.10,medium,キノの旅03
554.00,1742.00,6558.00,19087.00,39681.00,9.58,8.67,4.00,1.65,1.19,medium,キノの旅04
628.00,2131.00,7656.00,19876.00,42067.05,9.83,8.50,4.00,1.71,1.14,medium,キノの旅05
596.00,1861.20,6620.00,18171.00,38811.00,10.28,9.00,4.00,1.76,1.18,medium,キノの旅06
630.40,2099.00,6669.00,17857.40,38811.00,10.29,9.17,4.00,1.77,1.21,medium,キノの旅07
592.00,2109.80,7473.20,19608.40,45476.90,11.66,10.42,4.00,1.85,1.41,medium,キノの旅08
588.00,1877.60,7038.00,17023.00,42339.00,11.45,10.00,4.00,1.84,1.51,medium,キノの旅09
596.00,2060.00,6886.00,16926.00,44879.80,11.19,10.00,4.00,1.90,1.46,medium,キノの旅10
596.00,2065.00,8681.00,23113.00,55498.00,12.41,9.80,4.00,1.87,1.31,medium,キノの旅11
720.00,2057.00,6522.00,16287.50,42518.10,11.72,10.00,1.00,1.91,1.36,medium,キノの旅12
596.00,1950.00,7124.00,18383.00,44690.11,12.00,10.00,5.00,1.92,1.51,medium,キノの旅13
533.00,1746.00,6488.00,17175.00,38811.00,11.33,10.00,4.00,1.83,1.36,medium,キノの旅14
598.00,2013.00,6701.80,17248.80,43060.00,12.43,11.00,2.00,2.00,1.47,medium,キノの旅19
596.00,2057.00,7075.00,18171.00,47613.52,12.10,11.00,6.00,1.97,1.57,medium,キノの旅15
611.00,1936.00,6434.00,15666.00,40880.80,11.44,10.00,6.00,1.86,1.29,medium,キノの旅16
